Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
Axon Binary Format,.abf,04. Dataset,Original,Basic,36
BioSemi Data Format,.bsd,04. Dataset,Original,Basic,81
Digital Imaging and Communications in Medicine File Format,.dicom,04. Dataset,Original,Basic,"2,127"
FASTA,".fasta, .fas, .fa",04. Dataset,Original,Full,344
FASTQ,".fastq, .fq",04. Dataset,Original,Full,"5,562"
Flow Cytometry Standard File,.fcs,04. Dataset,Original,Watch,59
HDF5,".hdf, .h5",04. Dataset,Original,Watch,"31,934"
MATLAB Mat File,".m, .mat",04. Dataset,Original,Basic,"37,973"
MRtrix Image Format,.mif,04. Dataset,Original,Watch,128
MRtrix Tracks File Format,.tck,04. Dataset,Original,Watch,468
netCDF-3 64-bit,.nc,04. Dataset,Original,Watch,"5,795"
netCDF-3 Classic,.nc,04. Dataset,Original,Watch,"18,508"
netCDF-4,".nc, .nc4",04. Dataset,Original,Watch,"678,172"
The Neuroimaging Informatics Technology Initiative File Format,.nii,04. Dataset,Original,Watch,"109,239"
Norbit Wideband Multibeam Sonar Format,.wbm,04. Dataset,Original,Basic,822
Origin Project Format,".opj, .opju",04. Dataset,Original,Basic,3
QIIME Zipped Artifact,.qza,04. Dataset,Original,Watch,23
QIIME Zipped Visualization,.qzv,04. Dataset,Original,Watch,14
RData,.rdata,04. Dataset,Original,Watch,"1,256"
ROS bag file format,.bag,04. Dataset,Original,Basic,86
SPSS Data File,.dat,04. Dataset,Original,Basic,138
SPSS Output File (spv),.spv,04. Dataset,Original,Basic,1
Stata Data (DTA) Format,.dta,04. Dataset,Original,Basic,1
SuperDARN Raw Auto-Correlation Function File,.rawacf,04. Dataset,Original,Basic,"2,000,903"
SuperDARN Raw Data File,.dat,04. Dataset,Original,Basic,"603,976"
Variant Call Format,.vcf,04. Dataset,Original,Watch,11
WinRiver Workspace File,.wrw,04. Dataset,Original,Basic,3
ZISRAW (CZI) File Format,.czi,04. Dataset,Original,Watch,16
