Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
ASPRS Lidar Data Exchange Format,".las, .laz",06. Geospatial,To be reviewed,Basic,"2,536"
ESRI Arc/Info Binary Grid,.adf,06. Geospatial,Original,Basic,6
ESRI ArcInfo DAT File (External),.dat,06. Geospatial,Original,Basic,5
ESRI Arc/Info Export File,.e00,06. Geospatial,"Transform to KML, ESRI Shapefile, and/or GML as appropriate",Basic,1
ESRI Arc/View ShapeFile,.shp,06. Geospatial,Original,Watch,"29,057"
ESRI Arc/View Shapefile Index,.shx,06. Geospatial,Original,Basic,"29,057"
ESRI ArcInfo Grid .nit File,.nit,06. Geospatial,Original,Basic,7
ESRI ArcMap Document,".mxd, .mxt",06. Geospatial,Original,Basic,1
ESRI Code Page File,.cpg,06. Geospatial,Original,Basic,"28,890"
ESRI Persistent Auxiliary Metadata File,.aux.xml,06. Geospatial,Original,Basic,12
Esri Shapefile Geospatial Metadata File,.xml,06. Geospatial,Original,Basic,345
ESRI Shapefile Projection (Well-Known Text) Format,.prj,06. Geospatial,Original,Basic,"29,169"
ESRI Spatial Index File,".sbn, .sbx",06. Geospatial,Original,Basic,710
ESRI World File Format,.tfw,06. Geospatial,Original,Basic,88
OGC GeoPackage,.gpkg,06. Geospatial,Original,Watch,156
