Format,Extension,Category,Proposed Preservation Action,Preservation Level
7Zip format,.7z,01. Aggregate,Retain but extract content,Full
Apple Safari Webarchive,.webarchive,01. Aggregate,To be reviewed,Basic
Archiver Format,.ar,01. Aggregate,To be reviewed,Basic
ARJ File Format,.arj,01. Aggregate,To be reviewed,Basic
BZIP2 Compressed Archive,.bz2,01. Aggregate,Retain but extract content,Full
CPIO,.cpio,01. Aggregate,To be reviewed,Basic
OLE2 Compound Document Format,".ole, .ole2",01. Aggregate,Original,Basic
PDF Portfolio,.pdf,01. Aggregate,Retain but extract content if possible,Watch
RAR Archive,.rar,01. Aggregate,Retain but extract content,Watch
Tape Archive Format,.tar,01. Aggregate,Retain but extract content,Full
XZ File Format,.xz,01. Aggregate,Retain but extract content,Full
ZIP Format,.zip,01. Aggregate,Retain but extract content,Full
MPEG 1/2 Audio Layer 3,.mp3,02. Audio,Transform to Waveform Audio (PCMWAVEFORMAT),Full
MuBu (MUlti-BUffer) Object,.mubu,02. Audio,Original,Basic
Waveform Audio (PCMWAVEFORMAT),.wav,02. Audio,Original,Full
dBASE Database,.dbf,03. Database,Transform to CSV,Full
Lotus Approach View File,".apt, .apr",03. Database,Transform to CSV,Full
Microsoft FoxPro Memo,".fpt, .dct",03. Database,To be reviewed,Basic
SQLite Database File Format,".sqlite, .db",03. Database,Original,Watch
Axon Binary Format,.abf,04. Dataset,Original,Basic
BioSemi Data Format,.bsd,04. Dataset,Original,Basic
Digital Imaging and Communications in Medicine File Format,.dicom,04. Dataset,Original,Basic
FASTA,".fasta, .fas, .fa",04. Dataset,Original,Full
FASTQ,".fastq, .fq",04. Dataset,Original,Full
Flow Cytometry Standard File,.fcs,04. Dataset,Original,Watch
HDF5,".hdf, .h5",04. Dataset,Original,Watch
MATLAB Mat File,".m, .mat",04. Dataset,Original,Basic
MRtrix Image Format,.mif,04. Dataset,Original,Watch
MRtrix Tracks File Format,.tck,04. Dataset,Original,Watch
netCDF-3 64-bit,.nc,04. Dataset,Original,Watch
netCDF-3 Classic,.nc,04. Dataset,Original,Watch
netCDF-4,".nc, .nc4",04. Dataset,Original,Watch
The Neuroimaging Informatics Technology Initiative File Format,.nii,04. Dataset,Original,Watch
Norbit Wideband Multibeam Sonar Format,.wbm,04. Dataset,Original,Basic
Origin Project Format,".opj, .opju",04. Dataset,Original,Basic
QIIME Zipped Artifact,.qza,04. Dataset,Original,Watch
QIIME Zipped Visualization,.qzv,04. Dataset,Original,Watch
RData,.rdata,04. Dataset,Original,Watch
ROS bag file format,.bag,04. Dataset,Original,Basic
SPSS Data File,.dat,04. Dataset,Original,Basic
SPSS Output File (spv),.spv,04. Dataset,Original,Basic
Stata Data (DTA) Format,.dta,04. Dataset,Original,Basic
SuperDARN Raw Auto-Correlation Function File,.rawacf,04. Dataset,Original,Basic
SuperDARN Raw Data File,.dat,04. Dataset,Original,Basic
Variant Call Format,.vcf,04. Dataset,Original,Watch
WinRiver Workspace File,.wrw,04. Dataset,Original,Basic
ZISRAW (CZI) File Format,.czi,04. Dataset,Original,Watch
Adobe PostScript Font Metrics file,.pfm,05. Font,Original,Watch
Adobe Printer Font Binary,.pfb,05. Font,Original,Watch
Daisy-Dot Font File,.nlq,05. Font,Original,Watch
Embedded OpenType (EOT) File Format,.eot,05. Font,Original,Watch
OpenType Font File,.otf,05. Font,Original,Watch
TrueType Font,.tff,05. Font,Original,Watch
Web Open Font Format,.woff,05. Font,Original,Watch
ASPRS Lidar Data Exchange Format,".las, .laz",06. Geospatial,To be reviewed,Basic
ESRI Arc/Info Binary Grid,.adf,06. Geospatial,Original,Basic
ESRI ArcInfo DAT File (External),.dat,06. Geospatial,Original,Basic
ESRI Arc/Info Export File,.e00,06. Geospatial,"Transform to KML, ESRI Shapefile, and/or GML as appropriate",Basic
ESRI Arc/View ShapeFile,.shp,06. Geospatial,Original,Watch
ESRI Arc/View Shapefile Index,.shx,06. Geospatial,Original,Basic
ESRI ArcInfo Grid .nit File,.nit,06. Geospatial,Original,Basic
ESRI ArcMap Document,".mxd, .mxt",06. Geospatial,Original,Basic
ESRI Code Page File,.cpg,06. Geospatial,Original,Basic
ESRI Persistent Auxiliary Metadata File,.aux.xml,06. Geospatial,Original,Basic
Esri Shapefile Geospatial Metadata File,.xml,06. Geospatial,Original,Basic
ESRI Shapefile Projection (Well-Known Text) Format,.prj,06. Geospatial,Original,Basic
ESRI Spatial Index File,".sbn, .sbx",06. Geospatial,Original,Basic
ESRI World File Format,.tfw,06. Geospatial,Original,Basic
OGC GeoPackage,.gpkg,06. Geospatial,Original,Watch
Adobe Photoshop,.psd,07. Image (Raster),Transform to TIFF,Full
Alias Pix Image File,".pix, .ico",07. Image (Raster),To be reviewed,Basic
Animated Portable Network Graphics,.apng,07. Image (Raster),To be reviewed,Basic
Apple Icon Image Format,.icns,07. Image (Raster),Original,Basic
BigTIFF,".tiff, .tif",07. Image (Raster),Original,Full
DjVu File Format,".djv, .djvu",07. Image (Raster),To be reviewed,Watch
Exchangeable Image File Format (Compressed),".jpeg, .jpg",07. Image (Raster),Transform to TIFF,Full
Exchangeable Image File Format (Uncompressed),".tif, .tiff",07. Image (Raster),Transform to TIFF,Full
Flexible Image Transport System,.fits,07. Image (Raster),Transform to TIFF,Watch
