Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level
7Zip format,.7z,01. Aggregate,Retain but extract content,Full,Moderate
Apple Safari Webarchive,.webarchive,01. Aggregate,To be reviewed,Basic,High
Archiver Format,.ar,01. Aggregate,To be reviewed,Basic,Moderate
ARJ File Format,.arj,01. Aggregate,To be reviewed,Basic,High
BZIP2 Compressed Archive,.bz2,01. Aggregate,Retain but extract content,Full,Moderate
CPIO,.cpio,01. Aggregate,To be reviewed,Basic,Moderate
OLE2 Compound Document Format,".ole, .ole2",01. Aggregate,Original,Basic,Moderate
PDF Portfolio,.pdf,01. Aggregate,Retain but extract content if possible,Watch,Low
RAR Archive,.rar,01. Aggregate,Retain but extract content,Watch,High
Tape Archive Format,.tar,01. Aggregate,Retain but extract content,Full,Moderate
XZ File Format,.xz,01. Aggregate,Retain but extract content,Full,Low
ZIP Format,.zip,01. Aggregate,Retain but extract content,Full,Low
MPEG 1/2 Audio Layer 3,.mp3,02. Audio,Transform to Waveform Audio (PCMWAVEFORMAT),Full,Moderate
MuBu (MUlti-BUffer) Object,.mubu,02. Audio,Original,Basic,Moderate
Waveform Audio (PCMWAVEFORMAT),.wav,02. Audio,Original,Full,Moderate
dBASE Database,.dbf,03. Database,Transform to CSV,Full,Moderate
Lotus Approach View File,".apt, .apr",03. Database,Transform to CSV,Full,High
Microsoft FoxPro Memo,".fpt, .dct",03. Database,To be reviewed,Basic,High
SQLite Database File Format,".sqlite, .db",03. Database,Original,Watch,Low
Axon Binary Format,.abf,04. Dataset,Migrate to Axon Text Format - to be reviewed.,Basic,Moderate
Browser Extensible Data format,.bed,04. Dataset,Original,Full,Low
BioSemi Data Format,.bdf,04. Dataset,Original,Basic,Moderate
CMZ Format,.cmz,04. Dataset,Original,Basic,High
CMX Index Format,.cmx,04. Dataset,Original,Basic,High
Digital Imaging and Communications in Medicine File Format,.dicom,04. Dataset,Original,Basic,Low
FASTA,".fasta, .fas, .fa",04. Dataset,Original,Full,Low
FASTA Nucleic Acid,.fna,04. Dataset,Original,Full,Low
FASTQ,".fastq, .fq",04. Dataset,Original,Full,Low
Flow Cytometry Standard File,.fcs,04. Dataset,Original,Watch,Low
Gromos87 Format (GROMACS),.gro,04. Dataset,Original,Full,Low
HDF5,".hdf, .h5",04. Dataset,Original,Watch,Low
Hydrogen Database (GROMACS),.hdb,04. Dataset,Original,Full,Low
