Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
7Zip format,.7z,01. Aggregate,Retain but extract content,Full,Moderate,254
Apple Safari Webarchive,.webarchive,01. Aggregate,To be reviewed,Basic,High,9
Archiver Format,.ar,01. Aggregate,To be reviewed,Basic,Moderate,228
ARJ File Format,.arj,01. Aggregate,To be reviewed,Basic,High,0
BZIP2 Compressed Archive,.bz2,01. Aggregate,Retain but extract content,Full,Moderate,"2,739,467"
CPIO,.cpio,01. Aggregate,To be reviewed,Basic,Moderate,0
OLE2 Compound Document Format,".ole, .ole2",01. Aggregate,Original,Basic,Moderate,3
PDF Portfolio,.pdf,01. Aggregate,Retain but extract content if possible,Watch,Low,1
RAR Archive,.rar,01. Aggregate,Retain but extract content,Watch,High,1
Tape Archive Format,.tar,01. Aggregate,Retain but extract content,Full,Moderate,"5,240"
XZ File Format,.xz,01. Aggregate,Retain but extract content,Full,Low,69
ZIP Format,.zip,01. Aggregate,Retain but extract content,Full,Low,"3,518"
