Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
ASPRS Lidar Data Exchange Format,".las, .laz",06. Geospatial,Original,Basic,Moderate,"2,671"
ESRI Arc/Info Binary Grid,.adf,06. Geospatial,Original,Basic,High,66
ESRI ArcInfo DAT File (External),.dat,06. Geospatial,Original,Basic,High,5
ESRI Arc/Info Export File,.e00,06. Geospatial,"Transform to KML, ESRI Shapefile, and/or GML as appropriate",Basic,High,0
ESRI Arc/View ShapeFile,.shp,06. Geospatial,Original,Watch,Moderate,"29,044"
ESRI Arc/View Shapefile Index,.shx,06. Geospatial,Original,Basic,High,"29,044"
ESRI ArcInfo Grid .nit File,.nit,06. Geospatial,Original,Basic,High,7
ESRI ArcMap Document,".mxd, .mxt",06. Geospatial,Original,Basic,High,0
ESRI Code Page File,.cpg,06. Geospatial,Original,Basic,Moderate,"28,891"
ESRI Persistent Auxiliary Metadata File,.aux.xml,06. Geospatial,Original,Basic,Low,"23,124"
Esri Shapefile Geospatial Metadata File,.xml,06. Geospatial,Original,Basic,Low,408
ESRI Shapefile Projection (Well-Known Text) Format,.prj,06. Geospatial,Original,Basic,Low,"29,016"
ESRI Spatial Index File,".sbn, .sbx",06. Geospatial,Original,Basic,High,740
ESRI World File Format,.tfw,06. Geospatial,Original,Basic,Moderate,179
OGC GeoPackage,.gpkg,06. Geospatial,Original,Watch,Low,163
