Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
Acrobat PDF 1.1 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,6
Acrobat PDF 1.2 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,6
Acrobat PDF 1.3 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,498
Acrobat PDF 1.4 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,"6,233"
Acrobat PDF 1.5 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,738
Acrobat PDF 1.6 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,"1,884"
Acrobat PDF 1.7 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Low,90
Acrobat PDF/A - Portable Document Format,.pdf,10. Page Description,Original,Full,Low,2
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate,1
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,.pdf,10. Page Description,Transform to PDF/A,Full,Low,1
PostScript,.ps,10. Page Description,To be reviewed,Basic,Low,0
TeX/LaTeX Device Independent Document,.dvi,10. Page Description,To be reviewed,Basic,High,0
