Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
Agisoft Project File,.psx,14. Text (Markup),To be reviewed,Basic,High,2
Canadian Avalanche Association Markup Language,.caaml,14. Text (Markup),Original,Full,Low,825
Document Type Definition,.dtd,14. Text (Markup),Original,Full,Low,0
eRuby HTML document,".rhtml, .rhtm",14. Text (Markup),Original,Full,Low,0
Extensible Markup Language,.xml,14. Text (Markup),Original,Full,Low,"6,683"
Extensible Metadata Platform Format,.xmp,14. Text (Markup),Original,Full,Low,"37,261"
Extensible Metadata Platform Packet,.xmp,14. Text (Markup),Original,Full,Low,"16,148"
Geography Markup Language,.gml,14. Text (Markup),Original,Full,Low,0
GPS Exchange Format,.gpx,14. Text (Markup),Original,Full,Low,2
Hypertext Markup Language,.html,14. Text (Markup),Original,Full,Low,"13,433"
Keyhole Markup Language (Container),.kmz,14. Text (Markup),Original,Full,Low,51
Keyhole Markup Language (XML),.kml,14. Text (Markup),Original,Full,Low,46
LaTeX (Master document),.tex,14. Text (Markup),Original,Full,Low,3
LaTeX (Subdocument),.tex,14. Text (Markup),Original,Full,Low,492
Markdown,.md,14. Text (Markup),Original,Full,Low,307
OGR GFS File,.gfs,14. Text (Markup),Original,Watch,Moderate,0
QGIS Metadata File,.qmd,14. Text (Markup),Original,Full,Low,32
QGIS Style Language,.qml,14. Text (Markup),Original,Full,Low,4
reStructuredText,.rst,14. Text (Markup),Original,Full,Low,0
SGML/XML Entity File,.sgml,14. Text (Markup),Original,Full,Moderate,0
Standard Generalized Markup Language,.sgml,14. Text (Markup),Original,Full,Moderate,0
TEI P5 - Single Text File,".tei, .odd, .xml",14. Text (Markup),Original,Full,Low,0
Vicon Skeleton File/Vicon Labeling Setup file,.vsk,14. Text (Markup),Original,Full,HIgh,0
XML Property List,.plist,14. Text (Markup),Original,Full,Low,0
XML Schema Definition,.xsd,14. Text (Markup),Original,Full,Low,0
