Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
7Zip format,.7z,01. Aggregate,Retain but extract content,Full,0
Apple Safari Webarchive,.webarchive,01. Aggregate,To be reviewed,Basic,9
Archiver Format,.ar,01. Aggregate,To be reviewed,Basic,228
ARJ File Format,.arj,01. Aggregate,To be reviewed,Basic,2
BZIP2 Compressed Archive,.bz2,01. Aggregate,Retain but extract content,Full,0
CPIO,.cpio,01. Aggregate,To be reviewed,Basic,1
OLE2 Compound Document Format,".ole, .ole2",01. Aggregate,Original,Basic,293
PDF Portfolio,.pdf,01. Aggregate,Retain but extract content if possible,Watch,1
RAR Archive,.rar,01. Aggregate,Retain but extract content,Watch,1
Tape Archive Format,.tar,01. Aggregate,Retain but extract content,Full,17
XZ File Format,.xz,01. Aggregate,Retain but extract content,Full,5
ZIP Format,.zip,01. Aggregate,Retain but extract content,Full,595
