Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Acrobat PDF 1.1 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,6
Acrobat PDF 1.2 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,6
Acrobat PDF 1.3 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,494
Acrobat PDF 1.4 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,"2,178"
Acrobat PDF 1.5 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,338
Acrobat PDF 1.6 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,"1,886"
Acrobat PDF 1.7 - Portable Document Format,.pdf,10. Description de la page,Transformer en PDF/A,Complet,71
Acrobat PDF/A - Portable Document Format,.pdf,10. Description de la page,Fichier original,Complet,2
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,.pdf,10. Description de la page,Transformer en PDF/A,Complet,1
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,.pdf,10. Description de la page,Transformer en PDF/A,Complet,1
PostScript,.ps,10. Description de la page,À réviser,Base,15
TeX/LaTeX Device Independent Document,.dvi,10. Description de la page,À réviser,Base,8
