Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
7Zip format,.7z,01. Agrégat,Conserver mais extraire le contenu,Complet,1
Apple Safari Webarchive,.webarchive,01. Agrégat,À réviser,Base,9
Archiver Format,.ar,01. Agrégat,À réviser,Base,228
ARJ File Format,.arj,01. Agrégat,À réviser,Base,2
BZIP2 Compressed Archive,.bz2,01. Agrégat,Conserver mais extraire le contenu,Complet,"2,605,011"
CPIO,.cpio,01. Agrégat,À réviser,Base,1
OLE2 Compound Document Format,".ole, .ole2",01. Agrégat,Fichier original,Base,293
PDF Portfolio,.pdf,01. Agrégat,Conserver mais extraire le contenu si possible,Surveillance,1
RAR Archive,.rar,01. Agrégat,Conserver mais extraire le contenu,Surveillance,1
Tape Archive Format,.tar,01. Agrégat,Conserver mais extraire le contenu,Complet,"2,454"
XZ File Format,.xz,01. Agrégat,Conserver mais extraire le contenu,Complet,5
ZIP Format,.zip,01. Agrégat,Conserver mais extraire le contenu,Complet,"2,038"
MPEG 1/2 Audio Layer 3,.mp3,02. Audio,Transformer en format audio Waveform (PCMWAVEFORMAT),Complet,3
MuBu (MUlti-BUffer) Object,.mubu,02. Audio,Fichier original,Base,63
Waveform Audio (PCMWAVEFORMAT),.wav,02. Audio,Fichier original,Complet,"65,989"
dBASE Database,.dbf,03. Base de données,Transformer en CSV,Complet,"29,060"
Lotus Approach View File,".apt, .apr",03. Base de données,Transformer en CSV,Complet,1
Microsoft FoxPro Memo,".fpt, .dct",03. Base de données,À réviser,Base,102
SQLite Database File Format,".sqlite, .db",03. Base de données,Fichier original,Surveillance,105
Axon Binary Format,.abf,04. Jeu de données,Fichier original,Base,36
BioSemi Data Format,.bsd,04. Jeu de données,Fichier original,Base,81
Digital Imaging and Communications in Medicine File Format,.dicom,04. Jeu de données,Fichier original,Base,"2,127"
FASTA,".fasta, .fas, .fa",04. Jeu de données,Fichier original,Complet,344
FASTQ,".fastq, .fq",04. Jeu de données,Fichier original,Complet,"5,562"
Flow Cytometry Standard File,.fcs,04. Jeu de données,Fichier original,Surveillance,59
HDF5,".hdf, .h5",04. Jeu de données,Fichier original,Surveillance,"31,934"
MATLAB Mat File,".m, .mat",04. Jeu de données,Fichier original,Base,"37,973"
MRtrix Image Format,.mif,04. Jeu de données,Fichier original,Surveillance,128
MRtrix Tracks File Format,.tck,04. Jeu de données,Fichier original,Surveillance,468
netCDF-3 64-bit,.nc,04. Jeu de données,Fichier original,Surveillance,"5,795"
netCDF-3 Classic,.nc,04. Jeu de données,Fichier original,Surveillance,"18,508"
netCDF-4,".nc, .nc4",04. Jeu de données,Fichier original,Surveillance,"678,172"
The Neuroimaging Informatics Technology Initiative File Format,.nii,04. Jeu de données,Fichier original,Surveillance,"109,239"
Norbit Wideband Multibeam Sonar Format,.wbm,04. Jeu de données,Fichier original,Base,822
Origin Project Format,".opj, .opju",04. Jeu de données,Fichier original,Base,3
QIIME Zipped Artifact,.qza,04. Jeu de données,Fichier original,Surveillance,23
QIIME Zipped Visualization,.qzv,04. Jeu de données,Fichier original,Surveillance,14
RData,.rdata,04. Jeu de données,Fichier original,Surveillance,"1,256"
ROS bag file format,.bag,04. Jeu de données,Fichier original,Base,86
SPSS Data File,.dat,04. Jeu de données,Fichier original,Base,138
SPSS Output File (spv),.spv,04. Jeu de données,Fichier original,Base,1
Stata Data (DTA) Format,.dta,04. Jeu de données,Fichier original,Base,1
