Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
BibTeX Database File,.bib,15. Texte (structuré),Fichier original,Complet,403
Cascading Style Sheet,.css,15. Texte (structuré),Fichier original,Complet,"1,015"
Clock RINEX File Format,.clk,15. Texte (structuré),Fichier original,Complet,188
Comma Separated Values,.csv,15. Texte (structuré),Fichier original,Complet,"849,997"
Data Interchange Format,.dif,15. Texte (structuré),Fichier original,Surveillance,2
JSON Data Interchange Format,.json,15. Texte (structuré),Fichier original,Complet,"139,497"
Leaner Style Sheets,.less,15. Texte (structuré),Fichier original,Complet,14
MD5 File,.md5,15. Texte (structuré),Fichier original,Complet,147
OPML File,.opml,15. Texte (structuré),Fichier original,Complet,1
Prime OCR,.pro,15. Texte (structuré),Fichier original,Base,173
PrimeOCR,.pro,15. Texte (structuré),Fichier original,Base,961
Protein Data Bank File,.pdb,15. Texte (structuré),Fichier original,Surveillance,51
QGIS Spatial Index File,.qix,15. Texte (structuré),Fichier original,Surveillance,3
RINEX Observation File,.obs,15. Texte (structuré),Fichier original,Complet,24
Standard for the Exchange of Product model data,".step, .stp",15. Texte (structuré),Fichier original,Base,4
Structured Query Language Data,.sql,15. Texte (structuré),Fichier original,Complet,5
Subsurface Material Properties File,.mprops,15. Texte (structuré),Fichier original,Complet,28
Surface Domain Properties File,.oprops,15. Texte (structuré),Fichier original,Complet,28
Syntactically Awesome Style Sheets,".sass, .scss",15. Texte (structuré),Fichier original,Complet,14
Tab-separated Values,".tsv, .tab",15. Texte (structuré),Transformer en CSV,Complet,"4,883"
Text Configuration file,.ini,15. Texte (structuré),Fichier original,Complet,"2,308"
YAML,".yml, .yaml",15. Texte (structuré),Fichier original,Complet,"4,336"
