Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Niveau de risque,Nombre total de fichiers
Axon Binary Format,.abf,04. Jeu de données,,Base,Moderate,36
Browser Extensible Data format,.bed,04. Jeu de données,Fichier original,Complet,Risque faible,75
BioSemi Data Format,.bdf,04. Jeu de données,Fichier original,Base,Moderate,81
CMZ Format,.cmz,04. Jeu de données,Fichier original,Base,Risque élevé,2
CMX Index Format,.cmx,04. Jeu de données,Fichier original,Base,Risque élevé,2
Digital Imaging and Communications in Medicine File Format,.dicom,04. Jeu de données,Fichier original,Base,Risque faible,"14,985"
FASTA,".fasta, .fas, .fa",04. Jeu de données,Fichier original,Complet,Risque faible,440
FASTA Nucleic Acid,.fna,04. Jeu de données,Fichier original,Complet,Risque faible,96
FASTQ,".fastq, .fq",04. Jeu de données,Fichier original,Complet,Risque faible,"6,641"
Flow Cytometry Standard File,.fcs,04. Jeu de données,Fichier original,Surveillance,Risque faible,529
Gromos87 Format (GROMACS),.gro,04. Jeu de données,Fichier original,Complet,Risque faible,82
HDF5,".hdf, .h5",04. Jeu de données,Fichier original,Surveillance,Risque faible,"2,531,251"
Hydrogen Database (GROMACS),.hdb,04. Jeu de données,Fichier original,Complet,Risque faible,3
Include Typology (GROMACS),.itp,04. Jeu de données,Fichier original,Complet,Risque faible,84
MATLAB Mat File,.mat,04. Jeu de données,Fichier original,Base,Moderate,"84,284"
MATLAB Script File,.m,04. Jeu de données,,Base,Risque faible,"1,496"
Molecular Dynamics Parameters File (GROMACS),.mdp,04. Jeu de données,Fichier original,Complet,Risque faible,7
MRtrix Image Format,.mif,04. Jeu de données,Fichier original,Surveillance,Moderate,128
MRtrix Tracks File Format,.tck,04. Jeu de données,Fichier original,Surveillance,Moderate,468
netCDF-3 64-bit,.nc,04. Jeu de données,Fichier original,Surveillance,Risque faible,"2,844"
netCDF-3 Classic,.nc,04. Jeu de données,Fichier original,Surveillance,Risque faible,"70,136"
netCDF-4/HDF5,".nc, .nc4",04. Jeu de données,Fichier original,Surveillance,Risque faible,"843,941"
The Neuroimaging Informatics Technology Initiative File Format,.nii,04. Jeu de données,Fichier original,Surveillance,Risque élevé,"109,239"
Norbit Wideband Multibeam Sonar Format,.wbm,04. Jeu de données,Fichier original,Base,Moderate,822
Origin Project Format,".opj, .opju",04. Jeu de données,Fichier original,Base,Moderate,3
QIIME Zipped Artifact,.qza,04. Jeu de données,Fichier original,Surveillance,Risque faible,23
QIIME Zipped Visualization,.qzv,04. Jeu de données,Fichier original,Surveillance,Risque faible,14
RData,.rdata,04. Jeu de données,Fichier original,Surveillance,Risque faible,"6,999"
Residue to Building Block File (GROMACS),.r2b,04. Jeu de données,Fichier original,Surveillance,Risque faible,3
Residue Topology Parameter File (GROMACS),.rtp,04. Jeu de données,Fichier original,Complet,Risque faible,3
ROS bag file format,.bag,04. Jeu de données,Fichier original,Base,Risque faible,0
SPSS Data File,.dat,04. Jeu de données,Fichier original,Base,Moderate,131
SPSS Output File (spv),.spv,04. Jeu de données,Fichier original,Base,Risque élevé,1
Stata Data (DTA) Format,.dta,04. Jeu de données,Fichier original,Base,Moderate,0
SuperDARN Raw Auto-Correlation Function File,.rawacf,04. Jeu de données,Fichier original,Base,Moderate,"2,136,990"
SuperDARN Raw Data File,.dat,04. Jeu de données,Fichier original,Base,Moderate,0
Termini Database (ASCII) File (GROMACS),.tdb,04. Jeu de données,Fichier original,Complet,Risque faible,2
Topology File (GROMACS),.top,04. Jeu de données,Fichier original,Complet,Risque faible,0
Trajectory Trace Record File (GROMACS),.trr,04. Jeu de données,Fichier original,Surveillance,Risque faible,50
Variant Call Format,.vcf,04. Jeu de données,Fichier original,Complet,Risque faible,15
Virtual Site Definition File (GROMACS),.vsd,04. Jeu de données,Fichier original,Complet,Risque faible,1
WinRiver Workspace File,.wrw,04. Jeu de données,Fichier original,Base,Risque élevé,3
ZISRAW (CZI) File Format,.czi,04. Jeu de données,Fichier original,Surveillance,Moderate,262
