Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Niveau de risque,Nombre total de fichiers
ASPRS Lidar Data Exchange Format,".las, .laz",06. Données géospatiales,Fichier original,Base,Moderate,"2,671"
ESRI Arc/Info Binary Grid,.adf,06. Données géospatiales,Fichier original,Base,Risque élevé,66
ESRI ArcInfo DAT File (External),.dat,06. Données géospatiales,Fichier original,Base,Risque élevé,5
ESRI Arc/Info Export File,.e00,06. Données géospatiales,"Transformer en KML, ESRI Shapefile, et/ou GML, selon le cas",Base,Risque élevé,0
ESRI Arc/View ShapeFile,.shp,06. Données géospatiales,Fichier original,Surveillance,Moderate,"29,044"
ESRI Arc/View Shapefile Index,.shx,06. Données géospatiales,Fichier original,Base,Risque élevé,"29,044"
ESRI ArcInfo Grid .nit File,.nit,06. Données géospatiales,Fichier original,Base,Risque élevé,7
ESRI ArcMap Document,".mxd, .mxt",06. Données géospatiales,Fichier original,Base,Risque élevé,0
ESRI Code Page File,.cpg,06. Données géospatiales,Fichier original,Base,Moderate,"28,891"
ESRI Persistent Auxiliary Metadata File,.aux.xml,06. Données géospatiales,Fichier original,Base,Risque faible,"23,124"
Esri Shapefile Geospatial Metadata File,.xml,06. Données géospatiales,Fichier original,Base,Risque faible,408
ESRI Shapefile Projection (Well-Known Text) Format,.prj,06. Données géospatiales,Fichier original,Base,Risque faible,"29,016"
ESRI Spatial Index File,".sbn, .sbx",06. Données géospatiales,Fichier original,Base,Risque élevé,740
ESRI World File Format,.tfw,06. Données géospatiales,Fichier original,Base,Moderate,179
OGC GeoPackage,.gpkg,06. Données géospatiales,Fichier original,Surveillance,Risque faible,163
