Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Axon Binary Format,.abf,04. Jeu de données,Original,Base,36
BioSemi Data Format,.bsd,04. Jeu de données,Original,Base,81
Digital Imaging and Communications in Medicine File Format,.dicom,04. Jeu de données,Original,Base,"2,127"
FASTA,".fasta, .fas, .fa",04. Jeu de données,Original,Complet,344
FASTQ,".fastq, .fq",04. Jeu de données,Original,Complet,"5,348"
Flow Cytometry Standard File,.fcs,04. Jeu de données,Original,Veille,59
HDF5,".hdf, .h5",04. Jeu de données,Original,Veille,"32,256"
MATLAB Mat File,".m, .mat",04. Jeu de données,Original,Base,"37,189"
MRtrix Image Format,.mif,04. Jeu de données,Original,Veille,128
MRtrix Tracks File Format,.tck,04. Jeu de données,Original,Veille,468
netCDF-3 64-bit,.nc,04. Jeu de données,Original,Veille,"5,795"
netCDF-3 Classic,.nc,04. Jeu de données,Original,Veille,"18,508"
netCDF4,".nc, .nc4",04. Jeu de données,Original,Veille,"669,414"
The Neuroimaging Informatics Technology Initiative File Format,.nii,04. Jeu de données,Original,Veille,"109,239"
Norbit Wideband Multibeam Sonar Format,.wbm,04. Jeu de données,Original,Base,822
Origin Project Format,".opj, .opju",04. Jeu de données,Original,Base,3
QIIME Zipped Artifact,.qza,04. Jeu de données,Original,Veille,23
QIIME Zipped Visualization,.qzv,04. Jeu de données,Original,Veille,14
RData,.rdata,04. Jeu de données,Original,Veille,"1,256"
ROS bag file format,.bag,04. Jeu de données,Original,Base,86
SPSS Data File,.dat,04. Jeu de données,Original,Base,137
SPSS Output File (spv),.spv,04. Jeu de données,Original,Base,1
Stata Data (DTA) Format,.dta,04. Jeu de données,Original,Base,1
Statistical Analysis System Data (Windows),".sc7, .sas7bcat",04. Jeu de données,Transformer en CSV,Base,0
SuperDARN Raw Auto-Correlation Function File,.rawacf,04. Jeu de données,Original,Base,"2,000,903"
SuperDARN Raw Data File,.dat,04. Jeu de données,Original,Base,"603,976"
Variant Call Format,.vcf,04. Jeu de données,Original,Veille,11
WinRiver Workspace File,.wrw,04. Jeu de données,Original,Base,3
ZISRAW (CZI) File Format,.czi,04. Jeu de données,Original,Veille,16
