Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
ASPRS Lidar Data Exchange Format,".las, .laz",06. Géospatial,À réviser,Base,"2,533"
ESRI Arc/Info Binary Grid,.adf,06. Géospatial,Original,Base,6
ESRI ArcInfo DAT File (External),.dat,06. Géospatial,Original,Base,5
ESRI Arc/Info Export File,.e00,06. Géospatial,"Transformer en KML, ESRI Shapefile, et/ou GML, selon le cas",Base,1
ESRI Arc/View ShapeFile,.shp,06. Géospatial,Original,Veille,"29,031"
ESRI Arc/View Shapefile Index,.shx,06. Géospatial,Original,Base,"29,031"
ESRI ArcInfo Grid .nit File,.nit,06. Géospatial,Original,Base,7
ESRI ArcMap Document,".mxd, .mxt",06. Géospatial,Original,Base,1
ESRI Code Page File,.cpg,06. Géospatial,Original,Base,"28,864"
ESRI Persistent Auxiliary Metadata File,.aux.xml,06. Géospatial,Original,Base,12
Esri Shapefile Geospatial Metadata File,.xml,06. Géospatial,Original,Base,307
ESRI Shapefile Projection (Well-Known Text) Format,.prj,06. Géospatial,Original,Base,"29,143"
ESRI Spatial Index File,".sbn, .sbx",06. Géospatial,Original,Base,658
ESRI World File Format,.tfw,06. Géospatial,Original,Base,76
OGC GeoPackage,.gpkg,06. Géospatial,Original,Veille,156
