Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Agisoft Project File,.psx,14. Texte (balisage),À réviser,Base,2
Canadian Avalanche Association Markup Language,.caaml,14. Texte (balisage),Fichier original,Complet,825
Document Type Definition,.dtd,14. Texte (balisage),Fichier original,Complet,14
eRuby HTML document,".rhtml, .rhtm",14. Texte (balisage),Fichier original,Complet,4
Extensible Hypertext Markup Language,.html,14. Texte (balisage),Fichier original,Complet,0
Extensible Markup Language,.xml,14. Texte (balisage),Fichier original,Complet,"7,042"
Extensible Metadata Platform Format,.xmp,14. Texte (balisage),Fichier original,Complet,"22,785"
Extensible Metadata Platform Packet,.xmp,14. Texte (balisage),Fichier original,Complet,"30,626"
Geography Markup Language,.gml,14. Texte (balisage),Fichier original,Complet,5
GPS Exchange Format,.gpx,14. Texte (balisage),Fichier original,Complet,2
Hypertext Markup Language,.html,14. Texte (balisage),Fichier original,Complet,"6,472"
Keyhole Markup Language (Container),.kmz,14. Texte (balisage),Fichier original,Complet,48
Keyhole Markup Language (KML),.kml,14. Texte (balisage),Fichier original,Complet,0
LaTeX (Master document),.tex,14. Texte (balisage),Transformer,Complet,351
LaTeX (Subdocument),.tex,14. Texte (balisage),Transformer,Complet,492
Markdown,.md,14. Texte (balisage),Fichier original,Complet,560
OGR GFS File,.gfs,14. Texte (balisage),Fichier original,Surveillance,8
QGIS Metadata File,.qmd,14. Texte (balisage),Fichier original,Complet,50
QGIS Style Language,.qml,14. Texte (balisage),Fichier original,Complet,4
reStructuredText,.rst,14. Texte (balisage),Fichier original,Complet,4
SGML/XML Entity File,.sgml,14. Texte (balisage),Fichier original,Complet,22
Standard Generalized Markup Language,.sgml,14. Texte (balisage),Fichier original,Complet,1
TEI P5 - Single Text File,".tei, .odd, .xml",14. Texte (balisage),Fichier original,Complet,1
XML Property List,.plist,14. Texte (balisage),Fichier original,Complet,6
XML Schema Definition,.xsd,14. Texte (balisage),Fichier original,Complet,9
