Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Microsoft Word (Generic),.doc,18. Traitement de texte,Transformer en ODT,Complet,1
Microsoft Word Document,".docx, .doc",18. Traitement de texte,Transformer en ODT,Complet,26
Microsoft Word for Windows,".docx, .doc",18. Traitement de texte,Transformer en ODT,Complet,99
OpenDocument Text,".odt, .ott",18. Traitement de texte,Original,Complet,2
Rich Text Format,.rtf,18. Traitement de texte,Transformer en PDF/A,Complet,57
Statistica Report File,.str,18. Traitement de texte,Transformer en PDF/A,Veille,1
Ventura Publisher,.gen,18. Traitement de texte,Transformer en PDF/A,Veille,1
Wordcraft Chapter Files,.001,18. Traitement de texte,Original,Base,1
WordStar for Windows Document,.ws,18. Traitement de texte,Transformer en PDF/A,Complet,1
XYWrite Document,.xz,18. Traitement de texte,Original,Base,3
